,Links,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
0,https://turbo.az/autos/8989100-bmw-x5,BMW,X5,2015,Göy,2.0,Mühərrik2.0 L / 313 a.g. / Plug-in Hibrid,121 000 km,Avtomat,Xeyr,28 000 USD
1,https://turbo.az/autos/9000361-volkswagen-transporter,Volkswagen,Transporter,2018,Qara,2.0,Mühərrik2.0 L / 140 a.g. / Dizel,60 000 km,Avtomat,Xeyr,30 700 USD
2,https://turbo.az/autos/9066249-honda-accord,Honda,Accord,2021,Yaş Asfalt,2.0,Mühərrik2.0 L / 212 a.g. / Hibrid,52 000 km,Variator,Xeyr,22 650 USD
3,https://turbo.az/autos/9089754-mercedes-c-230,Mercedes,C 230,1999,Qızılı,2.3,Mühərrik2.3 L / 150 a.g. / Benzin,284 000 km,Avtomat,Xeyr,12 450 AZN
4,https://turbo.az/autos/9051723-land-rover-range-rover,Land Rover,Range Rover,2024,Qara,3.0,Mühərrik3.0 L / 460 a.g. / Plug-in Hibrid,0 km,Avtomat,Bəli,241 300 USD
5,https://turbo.az/autos/8533069-bmw-530,BMW,530,2008,Qara,3.0,Mühərrik3.0 L / 272 a.g. / Benzin,291 000 km,Avtomat,Xeyr,21 500 AZN
6,https://turbo.az/autos/9024906-hyundai-elantra,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Mühərrik2.0 L / 150 a.g. / Benzin,88 514 km,Avtomat,Xeyr,27 900 AZN
7,https://turbo.az/autos/8425718-voyah-free,Voyah,Free,2024,Qara,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,39 900 USD
8,https://turbo.az/autos/8111899-voyah-free,Voyah,Free,2024,Yaşıl,1.5,Mühərrik1.5 L / 490 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,40 900 USD
9,https://turbo.az/autos/9032803-land-rover-range-rover,Land Rover,Range Rover,2015,Ağ,5.0,Mühərrik5.0 L / 510 a.g. / Benzin,45 000 km,Avtomat,Xeyr,61 900 USD
10,https://turbo.az/autos/9023476-nissan-note,Nissan,Note,2015,Tünd qırmızı,1.2,Mühərrik1.2 L / 98 a.g. / Benzin,27 500 km,Variator,Xeyr,15 800 AZN
11,https://turbo.az/autos/9038418-leapmotor-c11,Leapmotor,C11,2024,Ağ,1.5,Mühərrik1.5 L / 272 a.g. / Plug-in Hibrid,0 km,Reduktor,Bəli,50 900 AZN
12,https://turbo.az/autos/9100987-bentley-bentayga,Bentley,Bentayga,2024,Qara,4.0,Mühərrik4.0 L / 550 a.g. / Benzin,0 km,Avtomat,Bəli,319 000 EUR
13,https://turbo.az/autos/8967514-changan-f70-hunter,Changan,F70 (Hunter),2022,Ağ,1.9,Mühərrik1.9 L / 150 a.g. / Dizel,81 500 km,Mexaniki,Xeyr,30 900 AZN
