,Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
0,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
3,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
5,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
6,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
9,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
10,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
13,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
14,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
17,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
18,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
19,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
20,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,20591
23,Changan,Nevo A05,2024,Ağ,1.5,Plug-in Hibrid,0,Variator,Bəli,20591
25,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
28,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
30,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
31,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
34,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
35,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
38,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
39,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
42,Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
43,Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
44,Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
45,Changan,Nevo A05,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,20591
48,Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
50,BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
53,Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
55,BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
56,Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
59,Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
60,Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
63,Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
64,Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
